My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
06F,1.249996080 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.250996160 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.251996160 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.252996160 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.253996240 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.254996320 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.255996320 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.256996320 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.257996320 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.258996320 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.259996320 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.260996400 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.261996320 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.262996320 ms,0,1,1,1,1,0,0,1,0,1,0
076,1.263996320 ms,0,1,1,0,1,1,1,0,0,0,0
06F,1.264996320 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.265996320 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.266996240 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.267996240 ms,0,1,1,1,1,0,0,1,0,1,0
076,1.268996160 ms,0,1,1,0,1,1,1,0,0,0,0
06F,1.269996160 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.270996160 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.271996080 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.272996080 ms,0,1,1,1,1,0,0,1,0,1,0
076,1.273996160 ms,0,1,1,0,1,1,1,0,0,0,0
06F,1.274996160 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.275996240 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.276996240 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.277996240 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.278996160 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.279996160 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.280996080 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.281996000 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.282995920 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.283995840 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.284995920 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.285995920 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.286996000 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.287996080 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.288996080 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.289996080 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.290996160 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.291996080 ms,0,1,0,1,0,1,1,1,1,1,0
29F,1.292996080 ms,1,1,1,1,1,0,0,1,0,1,0
077,1.293996160 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.294996160 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.295996160 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.296996160 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.297996160 ms,0,1,1,1,1,0,0,1,0,1,0
077,1.298996160 ms,1,1,1,0,1,1,1,0,0,0,0
06F,1.299996160 ms,1,1,1,1,0,1,1,0,0,0,0
292,1.300996240 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.301996240 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.302996240 ms,0,1,1,1,1,0,0,1,0,1,0
076,1.303996320 ms,0,1,1,0,1,1,1,0,0,0,0
070,1.304996320 ms,0,0,0,0,1,1,1,0,0,0,0
292,1.305996320 ms,0,1,0,0,1,0,0,1,0,1,0
3EA,1.306996320 ms,0,1,0,1,0,1,1,1,1,1,0
29E,1.307996320 ms,0,1,1,1,1,0,0,1,0,1,0
